Organisation,URL,Tech Stacks
GNU Octave,https://summerofcode.withgoogle.com/archive/2020/organizations/4670095013445632/,"['c++', 'hg']"

GNU Radio,https://summerofcode.withgoogle.com/archive/2020/organizations/6206096819093504/,"['python', 'c++', 'qt']"

Haiku,https://summerofcode.withgoogle.com/archive/2020/organizations/5963723224645632/,"['c++', 'posix', 'unix', 'webkit']"

Inkscape,https://summerofcode.withgoogle.com/archive/2020/organizations/4527035860385792/,"['c++', 'svg', 'gtk', 'python']"

Kodi Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/6555254004383744/,"['ffmpeg', 'python', 'c++', 'sqlite', 'mysql']"

lowRISC,https://summerofcode.withgoogle.com/archive/2020/organizations/6088258989064192/,"['systemverilog', 'c++', 'fpga', 'python', 'risc-v']"

MBDyn,https://summerofcode.withgoogle.com/archive/2020/organizations/4670622791106560/,"['c++', 'python']"

Mixxx,https://summerofcode.withgoogle.com/archive/2020/organizations/5847122345197568/,"['c++', 'qt', 'javascript', 'deep learning']"

mlpack,https://summerofcode.withgoogle.com/archive/2020/organizations/5279502554365952/,"['c++', 'python', 'templates', 'machine learning', 'deep learning']"

MoveIt,https://summerofcode.withgoogle.com/archive/2020/organizations/5486699158700032/,"['c++', 'ros']"

MuseScore,https://summerofcode.withgoogle.com/archive/2020/organizations/5017312551239680/,"['c++', 'qt', 'qml', 'cmake']"

NV Access,https://summerofcode.withgoogle.com/archive/2020/organizations/5653128168341504/,"['python', 'c++', 'ui automation', 'iaccessible2', 'win32 api']"

Open Source Robotics Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/5551857973329920/,"['ros', 'gazebo', 'c++', 'python']"

ScummVM,https://summerofcode.withgoogle.com/archive/2020/organizations/6265295930392576/,"['c++', 'sdl', 'opengl', 'assembly', 'lua']"

Shogun,https://summerofcode.withgoogle.com/archive/2020/organizations/4722091934351360/,"['python', 'c++', 'data science', 'machine learning', 'matlab']"

Submitty,https://summerofcode.withgoogle.com/archive/2020/organizations/5702344097923072/,"['php', 'python', 'postgresql', 'c++', 'javascript']"

Swift,https://summerofcode.withgoogle.com/archive/2020/organizations/4543471290941440/,"['swift', 'c++']"

Synfig,https://summerofcode.withgoogle.com/archive/2020/organizations/5710829074251776/,"['c++', 'gtk', 'gtkmm', 'python']"

Xapian Search Engine Library,https://summerofcode.withgoogle.com/archive/2020/organizations/4524333319323648/,"['c++', 'unicode', 'swig', 'linux', 'golang']"

AboutCode.org,https://summerofcode.withgoogle.com/archive/2020/organizations/6689005560659968/,"['python', 'c/c++', 'rust', 'javascript', 'postgresql']"

Academy Software Foundation (ASWF),https://summerofcode.withgoogle.com/archive/2020/organizations/6043464124334080/,"['c/c++', 'python']"

afl++,https://summerofcode.withgoogle.com/archive/2020/organizations/6438212253253632/,"['fuzzing', 'c/c++', 'qemu', 'llvm', 'sanitizers']"

apertus° Association,https://summerofcode.withgoogle.com/archive/2020/organizations/6145737898852352/,"['fpga', 'vhdl', 'c/c++', 'linux', 'embedded']"

Arduino,https://summerofcode.withgoogle.com/archive/2020/organizations/6264664972853248/,"['arduino', 'golang', 'c/c++']"

ArduPilot,https://summerofcode.withgoogle.com/archive/2020/organizations/5108253115023360/,"['drones', 'python', 'robotics', 'linux', 'c/c++']"

BioGears,https://summerofcode.withgoogle.com/archive/2020/organizations/6683736474648576/,"['c++11', 'c/c++', 'python', 'cmake']"

BRL-CAD,https://summerofcode.withgoogle.com/archive/2020/organizations/6396282903461888/,"['opencl', 'c/c++', 'python', 'tcl/tk', 'opengl']"

Ceph Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/6273779027673088/,"['c/c++', 'jenkins', 'python', 'javascript', 'shell script']"

CERN-HSF,https://summerofcode.withgoogle.com/archive/2020/organizations/5668658770083840/,"['c/c++', 'python', 'data analysis', 'machine learning', 'concurrency']"

Debian,https://summerofcode.withgoogle.com/archive/2020/organizations/6279124282245120/,"['git', 'python', 'javascript', 'c/c++', 'irc']"

FOSSology,https://summerofcode.withgoogle.com/archive/2020/organizations/6163301563629568/,"['php', 'javascript', 'c/c++', 'twig', 'python']"

FreeBSD Project,https://summerofcode.withgoogle.com/archive/2020/organizations/5650233226166272/,"['c/c++', 'llvm', 'shell script', 'assembly', 'make']"

GDevelop,https://summerofcode.withgoogle.com/archive/2020/organizations/5791816890187776/,"['javascript', 'c/c++', 'web development', 'game development', 'react']"

Gentoo Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/4837823317803008/,"['shell', 'bash', 'c/c++', 'python', 'linux']"

GNU Compiler Collection (GCC),https://summerofcode.withgoogle.com/archive/2020/organizations/4862862406713344/,"['c/c++', 'gnu autotools', 'gnu make']"

Godot Engine,https://summerofcode.withgoogle.com/archive/2020/organizations/4877284235804672/,"['c/c++', 'opengl', 'vulkan']"

JdeRobot - Universidad Rey Juan Carlos,https://summerofcode.withgoogle.com/archive/2020/organizations/6129466817904640/,"['ros', 'gazebo', 'python', 'c/c++', 'opencv']"

Kiwix,https://summerofcode.withgoogle.com/archive/2020/organizations/5280668067561472/,"['python 3', 'c/c++', 'javascript', 'node.js', 'kotlin']"

MDAnalysis,https://summerofcode.withgoogle.com/archive/2020/organizations/5997649305534464/,"['python', 'cython', 'numpy', 'c/c++']"

NumFOCUS,https://summerofcode.withgoogle.com/archive/2020/organizations/6692416771325952/,"['python', 'c/c++', 'javascript', 'r', 'julia']"

Open Bioinformatics Foundation (OBF),https://summerofcode.withgoogle.com/archive/2020/organizations/4595548239167488/,"['python', 'javascript', 'c/c++']"

Open Chemistry,https://summerofcode.withgoogle.com/archive/2020/organizations/5796522697949184/,"['c/c++', 'python', 'javascript', 'opengl', 'html']"

OpenCV,https://summerofcode.withgoogle.com/archive/2020/organizations/6410072298618880/,"['c/c++', 'python 3', 'javascript', 'cuda']"

Purr Data,https://summerofcode.withgoogle.com/archive/2020/organizations/5158498192588800/,"['html5', 'javascript', 'opengl', 'svg', 'c/c++']"

RTEMS Project,https://summerofcode.withgoogle.com/archive/2020/organizations/4511020028002304/,"['c/c++', 'python', 'assembly', 'posix', 'bsd unix']"

SymbiFlow,https://summerofcode.withgoogle.com/archive/2020/organizations/5628676583981056/,"['c/c++', 'fpga', 'python', 'verilog']"

TensorFlow,https://summerofcode.withgoogle.com/archive/2020/organizations/5569649606918144/,"['machine learning', 'deep learning', 'python', 'data analysis', 'c/c++']"

The ns-3 Network Simulator Project,https://summerofcode.withgoogle.com/archive/2020/organizations/5105708816662528/,"['c/c++', 'python']"

Wireshark,https://summerofcode.withgoogle.com/archive/2020/organizations/5630325851422720/,"['qt', 'c/c++', 'lua', 'pcap', 'cmake']"

OWASP Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/5260035782868992/,"['python', 'javascript', '.net', 'node.js']"

Accord Project,https://summerofcode.withgoogle.com/archive/2020/organizations/5947521500708864/,"['javascript', 'react', 'coq', 'ocaml', 'compiler']"

AOSSIE,https://summerofcode.withgoogle.com/archive/2020/organizations/5037209255673856/,"['javascript', 'swift', 'kotlin', 'python']"

BeagleBoard.org,https://summerofcode.withgoogle.com/archive/2020/organizations/5073969981423616/,"['linux', 'tensorflow', 'python', 'javascript', 'opencv']"

Canadian Centre for Computational Genomics,https://summerofcode.withgoogle.com/archive/2020/organizations/5106421244362752/,"['python', 'r-project', 'javascript', 'react', 'nodejs']"

Casbin,https://summerofcode.withgoogle.com/archive/2020/organizations/6587176113930240/,"['go', 'javascript', 'react', 'rust', 'python']"

CHAOSS,https://summerofcode.withgoogle.com/archive/2020/organizations/6232321151205376/,"['python', 'javascript', 'kibana', 'elasticsearch', 'mysql']"

CircuitVerse.org,https://summerofcode.withgoogle.com/archive/2020/organizations/5373782455222272/,"['rails', 'javascript', 'bootstrap', 'html5', 'canvas']"

CiviCRM,https://summerofcode.withgoogle.com/archive/2020/organizations/4923749205278720/,"['php', 'javascript', 'angularjs', 'mysql']"

Creative Commons,https://summerofcode.withgoogle.com/archive/2020/organizations/5450793232105472/,"['javascript', 'vue.js', 'python', 'django', 'wordpress']"

Drupal,https://summerofcode.withgoogle.com/archive/2020/organizations/5836893377265664/,"['php', 'symfony', 'sql', 'javascript', 'drupal 8']"

FrameNet Brasil (UFJF),https://summerofcode.withgoogle.com/archive/2020/organizations/5699340439388160/,"['php', 'mysql', 'javascript', 'python']"

GraphQL Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/6354766843609088/,"['graphql', 'javascript', 'react', 'node.js']"

Inclusive Design Institute,https://summerofcode.withgoogle.com/archive/2020/organizations/5992304050962432/,"['javascript', 'html', 'css', 'node.js']"

